sso_id,export_countries,export_commodity_codes
215650,"[{'region': 'Europe', 'country_name': 'France', 'country_iso2_code': 'FR'}]","[{'commodity_code': '200410', 'commodity_name': 'Food chips'}]"
215599,"[{'region': 'Europe', 'country_name': 'Netherlands', 'country_iso2_code': 'NL'}]","[{'commodity_code': '080830', 'commodity_name': 'Pear'}]"
213697,"[{'region': 'Eastern Europe and Central Asia', 'country_name': 'Russia', 'country_iso2_code': 'RU'}]","[{'commodity_code': '040610', 'commodity_name': 'Cheese'}]"
206989,"[{'region': 'Asia Pacific', 'country_name': 'Philippines', 'country_iso2_code': 'PH'}]","[{'commodity_code': '090121', 'commodity_name': 'Coffee bean'}]"
206989,"[{'region': 'Europe', 'country_name': 'Italy', 'country_iso2_code': 'IT'}]","[{'commodity_code': '040630', 'commodity_name': 'Cheese (040630)'}]"
213697,"[{'region': 'Europe', 'country_name': 'Germany', 'country_iso2_code': 'DE'}]","[{'commodity_code': '040610', 'commodity_name': 'Cheese'}]"
213721,"[{'region': 'Eastern Europe and Central Asia', 'country_name': 'Russia', 'country_iso2_code': 'RU'}]","[{'commodity_code': '220850', 'commodity_name': 'Gin'}]"
199367,"[{'region': 'Europe', 'country_name': 'Netherlands', 'country_iso2_code': 'NL'}]","[{'commodity_code': '220850', 'commodity_name': 'Gin'}]"
215702,"[{'region': 'Europe', 'country_name': 'India', 'country_iso2_code': 'IN'}]","[{'commodity_code': '220300', 'commodity_name': 'Alcoholic beer'}]"
215702,"[{'region': 'Africa', 'country_name': 'Angola', 'country_iso2_code': 'AO'}]","[{'commodity_code': '220850', 'commodity_name': 'Gin'}]"
215712,"[{'region': 'Eastern Europe and Central Asia', 'country_name': 'Russia', 'country_iso2_code': 'RU'}]","[{'commodity_code': '040610', 'commodity_name': 'Cheese'}]"
213418,"[{'region': 'Africa', 'country_name': 'Benin', 'country_iso2_code': 'BJ'}]","[{'commodity_code': '030431', 'commodity_name': 'Meat'}]"
213418,"[{'region': 'Asia Pacific', 'country_name': 'Australia', 'country_iso2_code': 'AU'}]","[{'commodity_code': '960810', 'commodity_name': 'Pen'}]"
213418,"[{'region': 'Africa', 'country_name': 'Algeria', 'country_iso2_code': 'DZ'}]","[{'commodity_code': '610520', 'commodity_name': 'Shirt'}]"
213418,"[{'region': 'North America', 'country_name': 'United States', 'country_iso2_code': 'US'}]","[{'commodity_code': '960810', 'commodity_name': 'Pen'}]"
213697,"[{'region': 'Europe', 'country_name': 'Germany', 'country_iso2_code': 'DE'}]","[{'commodity_code': '940152', 'commodity_name': 'Chair'}]"
